date,home_team,away_team,home_form,away_form,home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_goals_scored_avg_5,away_goals_scored_avg_5,home_draw_rate,away_draw_rate,home_rank_points,away_rank_points,rank_diff,home_elo,away_elo,elo_diff,home_squad_value_log,away_squad_value_log,squad_value_log_diff,home_attack_vs_away_def,away_attack_vs_home_def,h2h_home_winrate,h2h_avg_goals,is_neutral,outcome,home_goals,away_goals
1994-04-20,Northern Ireland,Liechtenstein,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,39.0,0.0,39.0,1598.8946437023956,1473.4656308670983,125.42901283529727,6.0,6.0,0.0,1.0,1.0,0.5,2.5,0,0,4.0,1.0
1994-06-17,Germany,Bolivia,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,60.0,35.0,25.0,1877.451849952284,1593.2456276014384,284.20622235084556,7.516362252398438,6.0,1.5163622523984381,1.0,1.0,0.5,2.5,1,0,1.0,0.0
1994-06-17,Spain,South Korea,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,56.0,38.0,18.0,1792.788309658103,1700.5082555029037,92.2800541551992,7.561222433405828,6.515441400222898,1.0457810331829291,1.0,1.0,0.5,2.5,1,1,2.0,2.0
1994-06-18,Italy,Republic of Ireland,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,57.0,53.0,4.0,1849.6174771276478,1770.9268108257859,78.69066630186194,6.0,6.0,0.0,1.0,1.0,0.5,2.5,1,2,0.0,1.0
1994-06-18,United States,Switzerland,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,47.0,54.0,-7.0,1628.9109415681676,1748.6601754202757,-119.74923385210809,7.0347051967831815,7.03685941923498,-0.0021542224517983044,1.0,1.0,0.5,2.5,0,1,1.0,1.0
1994-06-18,Colombia,Romania,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,51.0,55.0,-4.0,1803.8148110046814,1770.6046454834166,33.2101655212648,6.959400104419156,6.0,0.9594001044191556,1.0,1.0,0.5,2.5,1,2,1.0,3.0
1994-06-19,Norway,Mexico,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,56.0,51.0,5.0,1758.5762405528944,1783.7266494619396,-25.150408909045154,7.326555098611935,6.764956515616834,0.5615985829951011,1.0,1.0,0.5,2.5,1,0,1.0,0.0
1994-06-19,Belgium,Morocco,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,44.0,44.0,0.0,1692.442780846023,1708.2275204794341,-15.784739633411164,7.142609917947313,7.0499474121313295,0.09266250581598356,1.0,1.0,0.5,2.5,1,0,1.0,0.0
1994-06-19,Cameroon,Sweden,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,46.0,55.0,-9.0,1684.522355562397,1781.2496520810857,-96.72729651868872,6.0,7.163378311937407,-1.1633783119374073,1.0,1.0,0.5,2.5,1,1,2.0,2.0
1994-06-20,Brazil,Russia,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,59.0,50.0,9.0,1826.8965908994721,1729.0927282524058,97.80386264706635,7.492694762653628,6.0,1.4926947626536284,1.0,1.0,0.5,2.5,1,0,2.0,0.0
1994-06-20,Netherlands,Saudi Arabia,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,59.0,40.0,19.0,1841.7156017301181,1710.871759897873,130.84384183224506,7.403351785225545,6.055710264300081,1.347641520925464,1.0,1.0,0.5,2.5,1,0,2.0,1.0
1994-06-21,Argentina,Greece,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,55.0,41.0,14.0,1796.7608358052833,1668.5843884483277,128.17644735695558,7.374547959171061,6.0,1.3745479591710614,1.0,1.0,0.5,2.5,1,0,4.0,0.0
1994-06-21,Germany,Spain,1.0,0.5,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,60.0,56.0,4.0,1881.3490540575024,1798.350714212128,82.9983398453744,7.516362252398438,7.561222433405828,-0.04486018100738942,0.5,4.0,0.5,2.5,1,1,1.0,1.0
1994-06-21,Nigeria,Bulgaria,0.5,0.5,1.2,1.2,1.2,1.2,1.2,1.2,0.25,0.25,54.0,44.0,10.0,1724.2216967909112,1692.7661283983862,31.455568392525038,6.0,6.0,0.0,1.0,1.0,0.5,2.5,1,0,3.0,0.0
1994-06-22,Romania,Switzerland,1.0,0.5,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,55.0,54.0,1.0,1770.9109375658227,1744.463247906609,26.447689659213665,6.0,7.03685941923498,-1.0368594192349798,3.0,1.0,0.5,2.5,1,2,1.0,4.0
1994-06-22,United States,Colombia,0.5,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,47.0,51.0,-4.0,1643.432377886917,1810.1078966548578,-166.67551876794073,7.0347051967831815,6.959400104419156,0.07530509236402594,0.3333333333333333,1.0,0.5,2.5,0,0,2.0,1.0
1994-06-23,Italy,Norway,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,57.0,56.0,1.0,1853.538921097157,1748.9516390031952,104.5872820939619,6.0,7.326555098611935,-1.3265550986119354,0.0,1.0,0.5,2.5,1,0,1.0,0.0
1994-06-23,South Korea,Bolivia,0.5,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,38.0,35.0,3.0,1706.326796010399,1597.442555115105,108.88424089529394,6.515441400222898,6.0,0.5154414002228984,2.0,0.0,0.5,2.5,1,1,0.0,0.0
1994-06-24,Brazil,Cameroon,1.0,0.5,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,59.0,46.0,13.0,1830.291724849276,1682.4924927318527,147.79923211742334,7.492694762653628,6.0,1.4926947626536284,1.0,4.0,0.5,2.5,1,0,3.0,0.0
1994-06-24,Mexico,Republic of Ireland,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,51.0,53.0,-2.0,1789.3956786378635,1754.6315858438513,34.764092794012186,6.764956515616834,6.0,0.7649565156168343,0.0,1.0,0.5,2.5,1,0,2.0,1.0
1994-06-24,Sweden,Russia,0.5,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,55.0,50.0,5.0,1780.9433599986796,1733.5265508022558,47.416809196423856,7.163378311937407,6.0,1.1633783119374073,1.0,0.0,0.5,2.5,1,0,3.0,1.0
1994-06-25,Argentina,Nigeria,1.0,1.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,55.0,54.0,1.0,1791.5017130326855,1728.3826201243317,63.11909290835388,7.374547959171061,6.0,1.3745479591710614,8.0,6.0,0.5,2.5,1,0,2.0,1.0
1994-06-25,Belgium,Netherlands,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,44.0,59.0,-15.0,1697.690462763872,1846.1094044600225,-148.41894169615057,7.142609917947313,7.403351785225545,-0.2607418672782318,1.0,4.0,0.5,2.5,1,0,1.0,0.0
